sale_id,customer_id,product_id,employee_id,store_id,payment_type_id,sale_date,quantity,total_amount
1,21774,10669,4336,1655,1,2023-02-21,2,428.0
2,18645,12674,256,1917,3,2022-01-30,3,1531.08
3,19049,12,663,876,5,2021-01-06,1,898.89
4,5103,8721,2760,1115,4,2021-12-05,9,1215.63
5,1429,9806,3404,111,2,2020-09-22,2,1251.46
6,25318,11998,637,2501,3,2024-04-29,1,691.33
7,5392,11580,3422,1311,3,2023-09-26,6,841.74
8,22329,8319,4317,482,2,2021-11-27,9,3278.07
9,19202,2981,1068,2343,4,2022-08-03,1,873.17
10,16766,11058,4656,816,2,2025-04-06,2,525.72
11,10256,7807,3457,1848,1,2022-11-13,7,5330.08
12,9237,9070,1869,1027,2,2023-11-02,6,4493.64
13,2904,8777,4650,2406,5,2023-08-10,6,2536.8
14,7895,7561,2149,543,2,2025-03-30,8,3939.52
15,25061,5690,4661,1411,1,2020-05-26,7,4618.81
16,24572,3868,4661,2516,3,2022-05-22,3,1076.1
17,13188,6801,1018,789,4,2022-10-26,6,5558.28
18,14851,5590,2899,2237,1,2022-09-26,7,6073.48
19,4125,1017,2525,823,4,2023-05-24,6,1067.52
20,8083,12258,4535,1517,3,2022-12-25,5,4975.55
21,6081,11689,1895,2261,2,2022-04-10,6,2117.16
22,17883,12632,2444,1327,1,2022-03-01,4,798.72
23,25273,2474,3913,1887,2,2022-06-27,4,2146.96
24,20877,6252,4274,2355,1,2023-06-12,8,322.08
25,7110,5479,2372,1980,4,2023-10-10,7,874.79
26,16800,6365,548,204,5,2023-04-16,6,3975.36
27,10363,4151,1095,1318,5,2023-08-01,4,1032.52
28,1710,4744,3920,2368,1,2021-04-02,8,1038.96
29,3822,3624,2764,124,4,2022-01-24,3,402.51
30,9396,2782,3780,572,5,2024-03-12,4,2459.84
31,25624,6317,1185,1656,1,2020-07-08,7,362.32
32,16717,10938,852,890,2,2020-11-29,2,368.62
33,18750,6019,3333,1209,3,2021-01-23,8,1006.4
34,19945,11702,1485,1860,2,2021-12-21,5,4090.7
35,20229,10651,4080,388,5,2020-07-18,4,1711.48
36,11278,6361,2203,2256,2,2022-01-02,1,383.26
37,7321,4059,266,752,5,2020-05-10,2,378.52
38,19782,12665,3952,1986,3,2023-10-17,7,2630.46
39,20038,7008,2319,2214,1,2022-10-27,4,3384.36
40,9387,8354,513,1239,3,2021-04-24,5,3732.6
41,5730,8072,4985,1917,1,2023-03-12,2,1263.04
42,5083,493,2875,700,2,2025-04-23,1,917.29
43,11497,528,4161,527,1,2023-11-10,1,47.45
44,5443,8543,1032,368,5,2020-11-30,2,990.4
45,22309,12509,4757,2043,3,2024-06-06,6,765.42
